username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
LilMario44;;2017-08-31 23:59;;0;;0;;"Live In 3rd Ward at Peggy Park Giving Bacc To The Kids @lilmaro44 @djmichaelwatts #ThatWay… https://www.instagram.com/p/BYejzx6lmoj/";;;;@lilmaro44 @djmichaelwatts;;#ThatWay;;"903407036854976513";;https://twitter.com/LilMario44/status/903407036854976513
TotalTrafficHOU;;2017-08-31 23:59;;0;;0;;"Accident cleared in #Bellaire on 610 W Lp NB at Fournace, stop and go traffic back to Bellaire, delay of 2 mins #traffic";;;;;;#Bellaire #traffic;;"903406986997501952";;https://twitter.com/TotalTrafficHOU/status/903406986997501952
BeerGirlHTX;;2017-08-31 23:59;;0;;0;;"A nice cold saintarnoldbrewing Art Car IPA after a long day of picking up the pieces. Feels… https://www.instagram.com/p/BYejwgrgU6w/";;;;;;;;"903406920706310144";;https://twitter.com/BeerGirlHTX/status/903406920706310144
SummerwoodBL;;2017-08-31 23:59;;1;;0;;"Where to Shop: Sale of unique items helps aid Harvey relief efforts http://bubly.us/aWYJ";;;;;;;;"903406849885704192";;https://twitter.com/SummerwoodBL/status/903406849885704192
SummerwoodBL;;2017-08-31 23:59;;0;;0;;"Aerial tour shows devastation of epic flooding in Houston area http://bubly.us/aWYI";;;;;;;;"903406848656760832";;https://twitter.com/SummerwoodBL/status/903406848656760832
SouthHoustonBL;;2017-08-31 23:57;;0;;0;;"Where to Shop: Sale of unique items helps aid Harvey relief efforts http://bubly.us/aWY5";;;;;;;;"903406415829770246";;https://twitter.com/SouthHoustonBL/status/903406415829770246
BLifeSheldon;;2017-08-31 23:57;;0;;0;;"Where to Shop: Sale of unique items helps aid Harvey relief efforts http://bubly.us/aWY4";;;;;;;;"903406414026211332";;https://twitter.com/BLifeSheldon/status/903406414026211332
tikila24fit;;2017-08-31 23:56;;0;;0;;"PLEASE SHARE!! Was your home flooded by Hurricane Harvey? The Adolph Group have a team to… https://www.instagram.com/p/BYejc-WgGx4/";;;;;;;;"903406248258703361";;https://twitter.com/tikila24fit/status/903406248258703361
BLifeRiverOaks;;2017-08-31 23:56;;0;;0;;"Where to Shop: Sale of unique items helps aid Harvey relief efforts http://bubly.us/aWXq";;;;;;;;"903406150133190660";;https://twitter.com/BLifeRiverOaks/status/903406150133190660
Urban_DaSignz;;2017-08-31 23:56;;0;;0;;"Curried Goat @Cool Runnings Jamaican Grill https://www.instagram.com/p/BYejZWyg34d/";;;;@Cool;;;;"903406120592699393";;https://twitter.com/Urban_DaSignz/status/903406120592699393
