username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
BLifeBaytown;;2017-08-23 23:59;;0;;0;;"Baytown PD: Man sought after teen suspect killed in botched home invasion http://bubly.us/aDsW";;;;;;;;"900507899012804609";;https://twitter.com/BLifeBaytown/status/900507899012804609
BLifeSheldon;;2017-08-23 23:59;;0;;0;;"5202 Amy St, Houston, TX 77028, $175,000 http://bubly.us/aDuh";;;;;;;;"900507729688764416";;https://twitter.com/BLifeSheldon/status/900507729688764416
tayylorr_w;;2017-08-23 23:58;;0;;1;;"crazy about this sisterhood @Stephen F. Austin State University -… https://www.instagram.com/p/BYJ9VSUBcmepPhbyzlLBByzPQLYoMdzBF9IY1o0/ …";;;;@Stephen;;;;"900507691549896704";;https://twitter.com/tayylorr_w/status/900507691549896704
luvmybug;;2017-08-23 23:58;;0;;1;;"Drinking a Steam Punk Rousing Steam Lager by @noblereybrewing @Hops Meet Barley — http://untp.beer/s/c494980270";;;;@noblereybrewing @Hops;;;;"900507635149139969";;https://twitter.com/luvmybug/status/900507635149139969
TrueLifePhotoTx;;2017-08-23 23:58;;0;;0;;"Reposted with the right Cosplayer this time. #cosplay #overwatch @Henry B. Gonzalez… https://www.instagram.com/p/BYJ9Tj1j5Z5/";;;;@Henry;;#cosplay #overwatch;;"900507607525412865";;https://twitter.com/TrueLifePhotoTx/status/900507607525412865
chilloutLEROY;;2017-08-23 23:58;;0;;0;;"My lil bro mobbed up to Austin. First time he's ever seen me perform. Excited for the night.… https://www.instagram.com/p/BYJ9SjzjaBD/";;;;;;;;"900507603834372097";;https://twitter.com/chilloutLEROY/status/900507603834372097
Legendary_Bisti;;2017-08-23 23:58;;0;;0;;"I had a fantastic time at this park. I did not see any alligators though except for this one! … https://www.instagram.com/p/BYJ9S6UAp2K/";;;;;;;;"900507588638289921";;https://twitter.com/Legendary_Bisti/status/900507588638289921
Madmax2241;;2017-08-23 23:58;;0;;0;;"Just posted a video @Micheladas Cafe y Cantina https://www.instagram.com/p/BYJ9RPHgINQ/";;;;@Micheladas;;;;"900507548830322688";;https://twitter.com/Madmax2241/status/900507548830322688
an_gel_i_kuh;;2017-08-23 23:58;;0;;1;;"I'm at VALERO @CORNERSTORE4u in Houston, TXhttps://www.swarmapp.com/c/0XJ3JOHUCrz";;;;@CORNERSTORE4u;;;;"900507458736717826";;https://twitter.com/an_gel_i_kuh/status/900507458736717826
Etjones25;;2017-08-23 23:57;;0;;0;;"@Triumph Church Nederland https://www.instagram.com/p/BYJ9LFjFIcO/";;;;@Triumph;;;;"900507310468026368";;https://twitter.com/Etjones25/status/900507310468026368
BLifePineyPoint;;2017-08-23 23:57;;0;;0;;"7916 Woodway Dr, Houston, TX 77063, $465,000 3 beds, 3 baths http://bubly.us/aDuJ";;;;;;;;"900507302150778880";;https://twitter.com/BLifePineyPoint/status/900507302150778880
BLifeMontrose;;2017-08-23 23:56;;0;;0;;"411 Lovett Blvd #G, Houston, TX 77006, $840,000 3 beds, 4 baths http://bubly.us/aDu6";;;;;;#G;;"900507124664594433";;https://twitter.com/BLifeMontrose/status/900507124664594433
jbhiggins;;2017-08-23 23:56;;0;;0;;"Orion thought we made him a special dinner. As he gets older, he becomes more disobedient.… https://www.instagram.com/p/BYJ9FORBrof/";;;;;;;;"900507120315006976";;https://twitter.com/jbhiggins/status/900507120315006976
TotalTrafficHOU;;2017-08-23 23:56;;0;;0;;"Accident with an overturned vehicle cleared in #WestSide on i-10 katy Fwy Outbound at Barker Cypress, stop and go traffic back to Gessner";;;;;;#WestSide;;"900507070218350592";;https://twitter.com/TotalTrafficHOU/status/900507070218350592
etonnotekrab;;2017-08-23 23:56;;0;;0;;"Unleash the kid inside for a simple "graffiti" here at HOPE Outdoor… https://www.instagram.com/p/BYJ9B1vB300fP5eDSUnrWYYhZd-X-hasU83Y4Y0/ …";;;;;;;;"900506999376531456";;https://twitter.com/etonnotekrab/status/900506999376531456
djscoop;;2017-08-23 23:56;;0;;0;;"I'm at Dulce Tapioca in Sugar Land, TX https://www.swarmapp.com/c/75h1x1qj0Jl";;;;;;;;"900506974978224128";;https://twitter.com/djscoop/status/900506974978224128
TotalTrafficHOU;;2017-08-23 23:55;;0;;0;;"Accident blocks 2 left lanes and a left shoulder. in #SwSide on 69 SW Fwy Outbound at Hillcroft, stop and go traffic back to Edloe #traffic";;;;;;#SwSide #traffic;;"900506927494565888";;https://twitter.com/TotalTrafficHOU/status/900506927494565888
MissouriCityBL;;2017-08-23 23:55;;0;;0;;"City Monitoring Tropical Depression Harvey http://bubly.us/aDtx";;;;;;;;"900506871571808257";;https://twitter.com/MissouriCityBL/status/900506871571808257
MissouriCityBL;;2017-08-23 23:55;;0;;0;;"1710 Foxwood Ct, Missouri City, TX 77489, $110,000 3 beds, 2 baths http://bubly.us/aDtw";;;;;;;;"900506870477185024";;https://twitter.com/MissouriCityBL/status/900506870477185024
MissouriCityBL;;2017-08-23 23:55;;0;;0;;"16835 Green Quail Dr, Missouri City, TX 77489, $154,900 3 beds, 2 baths http://bubly.us/aDtv";;;;;;;;"900506868463931394";;https://twitter.com/MissouriCityBL/status/900506868463931394
