username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thefloridakeys;2017-09-23 23:47;50;193;"We pause a minute during our recovery efforts to bring you Saturday's Florida Keys sunset from… https://www.instagram.com/p/BZZwr0TD_3o/";;;;"911738860207448064";https://twitter.com/thefloridakeys/status/911738860207448064
nbc6;2017-09-23 20:26;16;39;"In the midst of the Irma-related damage recovery, locals rescued a stranded dolphin in the Florida Keys: http://on.nbc6.com/o8IYLOl pic.twitter.com/7j3lVljzx4";;;;"911688220353720323";https://twitter.com/nbc6/status/911688220353720323
FOXLA;2017-09-23 18:00;12;37;"Dehydrated deer found in a #irma damaged Florida Keys home. http://bit.ly/2f9wohC pic.twitter.com/vYmefRt2qF";;;#irma;"911651387330760704";https://twitter.com/FOXLA/status/911651387330760704
EPA;2017-09-23 01:58;20;32;"Our response teams are in the Florida Keys with @USCG working to assess the damage from Hurricane #Irma.https://www.epa.gov/newsreleases/epa-irma-recovery-update-september-22-2017 …";;@USCG;#Irma;"911409283958476800";https://twitter.com/EPA/status/911409283958476800
DailyMail;2017-09-22 23:38;25;56;"Florida firefighter gives dehydrated deer water after finding it trapped in a Keys home following Hurricane Irma http://dailym.ai/2hoHNuN";;;;"911374252577878017";https://twitter.com/DailyMail/status/911374252577878017
davidlabrava;2017-09-22 18:59;20;110;"A LOT HAPPENING RIGHT NOW. SO MANY FOLKS IN REAL NEED. IF YOU CAN GIVE ANYTHING AT ALL PLEASE THINK ABOUT THE FLORIDA KEYS ALSO. HELP";;;;"911303888631848960";https://twitter.com/davidlabrava/status/911303888631848960
MartinFLSheriff;2017-09-22 13:31;8;66;"Still Standing. An image from the Florida Keys. pic.twitter.com/KEmBRXvj5M";;;;"911221452690640897";https://twitter.com/MartinFLSheriff/status/911221452690640897
FoxNews;2017-09-22 02:23;181;924;". @TimTebow, @marcorubio help with Hurricane Irma relief efforts in Florida Keys http://fxn.ws/2xjgmwc";;@TimTebow @marcorubio;;"911053222923644933";https://twitter.com/FoxNews/status/911053222923644933
ABC;2017-09-22 01:39;293;1265;"Tim Tebow helps distribute food to Hurricane Irma victims in the Florida Keys - and signs a few autographs. http://abcn.ws/2xVkpjg pic.twitter.com/mhCWkUuXP0";;;;"911042309726392321";https://twitter.com/ABC/status/911042309726392321
BreeOlson;2017-09-22 00:20;29;567;"My heart goes out to everyone in Key West and all of Florida and also Texas and anywhere else that was affected. This has just been horrible";;;;"911022315483353089";https://twitter.com/BreeOlson/status/911022315483353089
wjxt4;2017-09-22 00:00;10;39;"Tebow hands out food to Hurricane Irma victims in Florida Keys -- http://bit.ly/2wDxNrV?utm_medium=social&utm_source=twitter_wjxt4 …pic.twitter.com/OAIQBAFNdi";;;;"911017227696078848";https://twitter.com/wjxt4/status/911017227696078848
VegaMapvega;2017-09-21 23:11;21;131;"Thank you SE team for coming and helping store 6302 in the Florida Keys!!! @CharlesA_Wilson #IrmaHurricane2017pic.twitter.com/Vz3rD4Z1Ng";;@CharlesA_Wilson;#IrmaHurricane2017pic;"911004885847552008";https://twitter.com/VegaMapvega/status/911004885847552008
BillyCorben;2017-09-21 22:02;21;81;"The @DaviePolice know it's all about THE U! Sorry not sorry @TimTebow -- but thanks for helping #HurricaneIrma victims in The Florida Keys! pic.twitter.com/ZhFmFFXDJ0";;@DaviePolice @TimTebow;#HurricaneIrma;"910987748521234432";https://twitter.com/BillyCorben/status/910987748521234432
TimTebow;2017-09-21 20:13;1185;8437;"So grateful for opportunity to serve the resilient citizens of the Florida Keys alongside @marcorubio #Irma #IrmaRecovery #floridastrongpic.twitter.com/pYObOG7KPN";;@marcorubio;#Irma #IrmaRecovery #floridastrongpic;"910960249997336576";https://twitter.com/TimTebow/status/910960249997336576
FloridaKeys;2017-09-21 16:41;9;47;"We are excited to share some of the amazing progress that is happening here throughout the Florida Keys. Thanks... http://fb.me/8P2PXSmKg";;;;"910906813285113858";https://twitter.com/FloridaKeys/status/910906813285113858
serenityatsea;2017-09-21 14:33;36;38;"Trump's a fucking liar. He just said Florida's power is 100% back except for the Keys. I'm sitting here in SWFL without power #IrmaRecovery";;;#IrmaRecovery;"910874570428764161";https://twitter.com/serenityatsea/status/910874570428764161
SteveEveritt51;2017-09-21 11:55;12;43;"Contrary to some reports the sun continues to rise in the Florida Keys!!! #hailtotherecoverypic.twitter.com/XOqO45D4i8";;;#hailtotherecoverypic;"910834865242812419";https://twitter.com/SteveEveritt51/status/910834865242812419
wsvn;2017-09-23 22:17;13;20;"#UPDATE: Key West lifts curfew that remains in effect for rest of Florida Keys for security and safety reasons, officials say pic.twitter.com/A33v2LtVg6";;;#UPDATE;"911716273800794117";https://twitter.com/wsvn/status/911716273800794117
wsvn;2017-09-22 22:59;8;12;"Homestead car dealership @keithpiersoncc donates items to Florida Keys residents http://wsvn.com/news/local/homestead-car-dealership-donates-items-to-keys-residents/ …pic.twitter.com/PNF2xd80pu";;@keithpiersoncc;;"911364371883970562";https://twitter.com/wsvn/status/911364371883970562
BiscayneNPS;2017-09-22 20:40;8;20;"Boca Chita Key will reopen Saturday! We welcome visitors back to the island for the first time since Hurricane Irma hit Florida 12 days ago. pic.twitter.com/aONhvYKAit";;;;"911329269716013058";https://twitter.com/BiscayneNPS/status/911329269716013058
craigtimes;2017-09-22 18:49;7;16;"When #HurricaneIrma hit the#Florida Keys, Mom & Pop radio station kept everyone going w/ old tech http://wlrn.org/post/after-hurricane-irma-blew-away-power-century-old-technology-became-lifeline-locals-keys … via @keywestnan";;@keywestnan;#HurricaneIrma #Florida;"911301545848958978";https://twitter.com/craigtimes/status/911301545848958978
ncdhhs;2017-09-22 18:33;9;18;"The mobile hospital @ncdhhs sent to the Florida Keys has been set up to assist during #Irma recovery. http://bit.ly/2hg6OM6 pic.twitter.com/ea7EilTTkb";;@ncdhhs;#Irma;"911297334285361153";https://twitter.com/ncdhhs/status/911297334285361153
USGSLandsat;2017-09-22 15:18;18;11;"#Landsat captures how #Irma churned up sediment in the Florida Keys #HurricaneIrma http://bit.ly/2xXKJt8 pic.twitter.com/A4DcpyZzlu";;;#Landsat #Irma #HurricaneIrma;"911248466269102080";https://twitter.com/USGSLandsat/status/911248466269102080
FoxFriendsFirst;2017-09-22 11:37;7;33;"TEBOW TEAMS UP WITH RUBIO. The Florida natives heading to the Key to hand out meals to families hit by Hurricane Irma. pic.twitter.com/9N63Y8fYD4";;;;"911192764406145024";https://twitter.com/FoxFriendsFirst/status/911192764406145024
foxandfriends;2017-09-22 09:05;30;193;"Tebow, Sen. Rubio help with Hurricane Irma relief efforts in Florida Keys http://fxn.ws/2hnxuXY";;;;"911154408251170816";https://twitter.com/foxandfriends/status/911154408251170816
RunTheJuls;2017-09-22 03:48;2;16;"So freaking excited to start my course to obtain my key badge at Learn Sativa! The first cannabis college campus in the state of Florida. pic.twitter.com/eYy0WPG1JS";;;;"911074633402564618";https://twitter.com/RunTheJuls/status/911074633402564618
GMA;2017-09-22 02:00;47;270;"WATCH: @TimTebow helps distribute food to Hurricane #Irma victims in the Florida Keys - and signs a few autographs: http://abcn.ws/2xVkpjg pic.twitter.com/Y3OVHiSYtC";;@TimTebow;#Irma;"911047470146375681";https://twitter.com/GMA/status/911047470146375681
GRITMy2CentsXO;2017-09-22 01:28;8;13;"Earlier today, @TimTebow was spotted helping hand out food & ice at a distribution center in the Florida Keys with @marcorubio. Bravo pic.twitter.com/8RP2vpqSJY";;@TimTebow @marcorubio;;"911039586653978624";https://twitter.com/GRITMy2CentsXO/status/911039586653978624
AloisioLuna;2017-09-22 00:27;5;14;"Florida HR Ready Team. Proud UPSers Key West recovery team@FloridaUPSers pic.twitter.com/74ELzAMZSN";;@FloridaUPSers;;"911024059592388608";https://twitter.com/AloisioLuna/status/911024059592388608
WPLGLocal10;2017-09-21 23:49;6;20;"Tebow hands out food to Hurricane Irma victims in Florida Keys http://bit.ly/2xWp1Wg?utm_medium=social&utm_source=twitter_WPLGLocal10 …pic.twitter.com/0eVga5m2xR";;;;"911014469433688064";https://twitter.com/WPLGLocal10/status/911014469433688064
UnitedWayMiami;2017-09-21 20:54;3;13;"So grateful to #MissionUnitedMiami volunteers for organizing donations for Florida and The Keys. #Shoutout to @Walmart for making it happen!pic.twitter.com/BH9p2sMxjf";;@Walmart;#MissionUnitedMiami #Shoutout;"910970506836348928";https://twitter.com/UnitedWayMiami/status/910970506836348928
LakersCanes305;2017-09-21 17:15;1;17;"Tim Tebow helping distribute food and water in the Florida Keys.. I'm not supposed to like the dude He's a Gator... Genuine good man";;;;"910915322198315008";https://twitter.com/LakersCanes305/status/910915322198315008
yashar;2017-09-21 16:53;12;32;". @SpeakerRyan surveying the Florida Keys. pic.twitter.com/SKHKISAoQw";;@SpeakerRyan;;"910909980135608320";https://twitter.com/yashar/status/910909980135608320
USFWSDirector;2017-09-21 14:13;5;11;"Great to see the Key deer coming back after #Irma! #USFWS staff still working tirelessly to help recovery in Florida, Texas & the Caribbean. https://twitter.com/usfwssoutheast/status/910583653314396160 …";;;#Irma #USFWS;"910869688145543171";https://twitter.com/USFWSDirector/status/910869688145543171
steppychuk;2017-09-21 04:50;0;68;"@uf study abroad used a photo of me in cedar key FLORIDA for their "UF in Bahamas" flyer I DEMAND A FREE TRIP FOR THIS FALSE ADVERTISING";;@uf;;"910727951620157440";https://twitter.com/steppychuk/status/910727951620157440
curtis_knowles2;2017-09-21 00:58;9;35;"Shout out to Keys Energy, Florida Keys Aqueduct Authority, City workers, etc. for all the hard work";;;;"910669447748313088";https://twitter.com/curtis_knowles2/status/910669447748313088
JaxStrong;2017-09-21 00:43;22;60;"#USACE provides technical assistance to evaluate Critical Public Facilities in support of @fema in the Florida Keys #JaxStrong #KeysStrongpic.twitter.com/vU82jSAeZU";;@fema;#USACE #JaxStrong #KeysStrongpic;"910665655493562368";https://twitter.com/JaxStrong/status/910665655493562368
FlaPanthers;2017-09-20 23:43;29;83;"#FlaPanthers staff, @SoFlaFord, @CityofSunrise & more headed to the Florida Keys to distribute the supplies collected at BB&T Center. pic.twitter.com/WxWa7nFsxv";;@SoFlaFord @CityofSunrise;#FlaPanthers;"910650677432606721";https://twitter.com/FlaPanthers/status/910650677432606721
WLRN;2017-09-20 22:35;19;62;"Key West's dialysis center is now open! Find all Florida Keys Updates here: http://wlrn.us/2xsl9vQ pic.twitter.com/wJVEYG8Doz";;;;"910633422225321984";https://twitter.com/WLRN/status/910633422225321984
