username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
Carlos_Rico_G;;2017-10-03 17:14;;0;;1;;"Esos momentos en que una carita te enamora!!! #AmorDeTito #TitoEnamorado en Córdoba, Spain https://www.instagram.com/p/BZyzl8XDKhn/";;;;;;#AmorDeTito #TitoEnamorado;;"915263727309611017";;https://twitter.com/Carlos_Rico_G/status/915263727309611017
taperiaorganica;;2017-10-03 08:45;;2;;3;;"#martes #menu para el #almuerzo #sano sin freidora #rico y hecho con mucho #cariño #malaga… https://www.instagram.com/p/BZx5b3ihAWm/";;;;;;#martes #menu #almuerzo #sano #rico #cariño #malaga;;"915135800194535425";;https://twitter.com/taperiaorganica/status/915135800194535425
LgAixela;;2017-10-02 21:19;;0;;0;;"Atún fresco con ajito y cebolla a la plancha! Así de rico y sano se cena hoy! #realfood… https://www.instagram.com/p/BZwq4k1Fb2_/";;;;;;#realfood;;"914963058140860416";;https://twitter.com/LgAixela/status/914963058140860416
eva_rico;;2017-10-01 19:08;;0;;0;;"wake me up when September comes...y Octubre llegò. #Torroxpic.twitter.com/dYFR4yx1sr";;;;;;#Torroxpic;;"914567678509142018";;https://twitter.com/eva_rico/status/914567678509142018
pilarcocinando;;2017-10-01 13:13;;1;;2;;"Que ricos estos #fideos #singluten a la marinera #recetitamuypronto #comomegusta… https://www.instagram.com/p/BZtOfM4A3K1/";;;;;;#fideos #singluten #recetitamuypronto #comomegusta;;"914478406900813827";;https://twitter.com/pilarcocinando/status/914478406900813827
nesrin0406;;2017-10-01 13:07;;0;;0;;"Degustando ricos perritos calientes en Márquez Bar. Calle Charcón… https://www.instagram.com/p/BZtNwGsApol435vuPlH2CTHv03b1xx18U7MeNc0/ …";;;;;;;;"914476783013113856";;https://twitter.com/nesrin0406/status/914476783013113856
javibienmesabe;;2017-10-01 10:25;;0;;0;;"Aquí está tu rico pollo asado. #bienmesabe #elpuerto #domingueando #instachiken en Bienmesabe https://www.instagram.com/p/BZs7SUzn0Oh/";;;;;;#bienmesabe #elpuerto #domingueando #instachiken;;"914436176748187648";;https://twitter.com/javibienmesabe/status/914436176748187648
Carlos_Rico_G;;2017-09-30 22:17;;0;;0;;"Un poco de Rock para esta noche de sábado!!! en Imagine https://www.instagram.com/p/BZrjfkbDo0G/";;;;;;;;"914252893536030720";;https://twitter.com/Carlos_Rico_G/status/914252893536030720
pilar_singluten;;2017-09-29 14:04;;0;;0;;"Ummm que rico! #Pan #caliente #sin #gluten en Panadería El Cortijo Sin https://www.instagram.com/p/BZoKq94nO5dm_-uZSA1EYgXsPsEcVWs8ZTiPtA0/ …";;;;;;#Pan #caliente #sin #gluten;;"913766367261859842";;https://twitter.com/pilar_singluten/status/913766367261859842
Domidelgavilla;;2017-09-28 14:17;;0;;0;;"Hoy preparé un rico #ceviche de atún para recuperar fuerzas tras la clase de #powerboxe en el… https://www.instagram.com/p/BZlnbHGlGZ2/";;;;;;#ceviche #powerboxe;;"913407335128797184";;https://twitter.com/Domidelgavilla/status/913407335128797184
Lamps_82;;2017-09-27 19:52;;0;;1;;"Drinking a Rico Sauvin by @AtGBrewery @mom's flat — http://untp.beer/s/c508578159 #photo";;;;@AtGBrewery @mom;;#photo;;"913129200315437056";;https://twitter.com/Lamps_82/status/913129200315437056
rubennunezdiaz;;2017-09-27 17:00;;0;;1;;"He hecho un bizcocho de naranja, y me ha quedado muy rico #bizcocho #reposteria #dulce #casero… https://www.instagram.com/p/BZjVTutDOs7/";;;;;;#bizcocho #reposteria #dulce #casero;;"913086030961676290";;https://twitter.com/rubennunezdiaz/status/913086030961676290
inmakuy;;2017-09-24 23:52;;0;;0;;"*Un pokito de Luz y un pokito de Esperanza para Puerto Rico y México!!!! @maluma … https://www.instagram.com/p/BZcV_ugBGD_/";;;;@maluma;;;;"912102374302474240";;https://twitter.com/inmakuy/status/912102374302474240
JuanFeGa;;2017-09-24 11:22;;0;;0;;"¿Y si te digo que todo esto es supersaludable? ¿Sin azúcar y rico en nutrientes? #objetivo10fit… https://www.instagram.com/p/BZbAMS2lnrP/";;;;;;#objetivo10fit;;"911913686490632192";;https://twitter.com/JuanFeGa/status/911913686490632192
Oportamarita;;2017-09-24 09:14;;0;;0;;"Pense que tanta belleza junta me empalagaría, pero sos ese rico… https://www.instagram.com/p/BZaxfVKjQj432RV36wU7PU7VqMMcUm9K6hqvi40/ …";;;;;;;;"911881509694402561";;https://twitter.com/Oportamarita/status/911881509694402561
