username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
IZELSPORT;;2017-09-18 09:37;;0;;1;;"Muyyyy buenas!!! Tenemos mucho de lo rico, y en todos los colores del magenta al azul eléctrico… https://www.instagram.com/p/BZLXbQyFNF_/";;;;;;;;"909712984905105408";;https://twitter.com/IZELSPORT/status/909712984905105408
casavazquez;;2017-09-15 17:31;;0;;1;;"#nodigomas #winteriscoming SE ACERCA LO BUENO !!!! YA ESTAN AQUI LOS RICOS ROSCOS Y MANTECADOS… https://www.instagram.com/p/BZEfQZLgD4W/";;;;;;#nodigomas #winteriscoming;;"908745045032960001";;https://twitter.com/casavazquez/status/908745045032960001
eva_rico;;2017-09-15 17:04;;0;;1;;""El laberinto es el caminante".Catedral San Francisco de Asis.Santa Fe , Nuevo Méxicopic.twitter.com/FLpNchq6K5";;;;;;;;"908738211555479552";;https://twitter.com/eva_rico/status/908738211555479552
Carlos_Rico_G;;2017-09-14 20:19;;0;;0;;"Ya tenemos nueva compañera de aventuras!!! ...otro logro cumplido!!! en Córdoba, Spain https://www.instagram.com/p/BZCNqONj3Do/";;;;;;;;"908424875009888256";;https://twitter.com/Carlos_Rico_G/status/908424875009888256
taperiaorganica;;2017-09-14 09:41;;1;;1;;"#jueves #menu para el #almuerzo #sano sin freidora #rico y hecho con mucho #cariño #malaga… https://www.instagram.com/p/BZBEqRGB20f/";;;;;;#jueves #menu #almuerzo #sano #rico #cariño #malaga;;"908264347952205824";;https://twitter.com/taperiaorganica/status/908264347952205824
ECOecoshop;;2017-09-14 08:44;;0;;1;;"Buenos días!! Mirad que zumo tan rico tenemos hoy en tienda! - ZANAHORIA - NARANJA -… https://www.instagram.com/p/BZA-NmMFTIU/";;;;;;;;"908250157841559553";;https://twitter.com/ECOecoshop/status/908250157841559553
lucia_hormigo;;2017-09-11 15:01;;0;;0;;"No es más rico quien más tiene, sino el que menos necesita. en… https://www.instagram.com/p/BY56_iDDE2wdeIdiTH3I84pLdS9KNy_UnGTqR80/ …";;;;;;;;"907257915647475712";;https://twitter.com/lucia_hormigo/status/907257915647475712
SaborGastronomo;;2017-09-10 19:36;;2;;0;;"Rico pescadito frito y langostinos del mercado de Sanlucar de Barrameda, bueniiiiiisimo en Plaza… https://www.instagram.com/p/BY31nCZBgq8/";;;;;;;;"906964609818664960";;https://twitter.com/SaborGastronomo/status/906964609818664960
pilarcocinando;;2017-09-10 14:37;;1;;1;;"Hoy con tiempo estupendo disfrutamos de este rico #guiso de #papas con #carne #recetasenfamilia… https://www.instagram.com/p/BY3TWnsA2nA/";;;;;;#guiso #papas #carne #recetasenfamilia;;"906889277350477825";;https://twitter.com/pilarcocinando/status/906889277350477825
Hornspawn;;2017-09-10 11:02;;0;;1;;"El pastel más rico de la historia #acristinahoyledaigualtodo en Chocolat's https://www.instagram.com/p/BY26y_4nKqc/";;;;;;#acristinahoyledaigualtodo;;"906835284976967681";;https://twitter.com/Hornspawn/status/906835284976967681
AngelesSuarez17;;2017-09-09 21:24;;0;;0;;"Al rico batido, sano sano... Feria de la dieta Mediterránica (Tavira, Portugal). en Tavira https://www.instagram.com/p/BY1dKR9gLRB/";;;;;;;;"906629399172337664";;https://twitter.com/AngelesSuarez17/status/906629399172337664
cristinamlg84;;2017-09-08 23:29;;0;;1;;"Mmm rico rico en Monkey House https://www.instagram.com/p/BYzGtDzg5VZYz9BPKaDxkbAvkNSucOIRawZRPM0/ …";;;;;;;;"906298525675384834";;https://twitter.com/cristinamlg84/status/906298525675384834
pilarcocinando;;2017-09-08 21:06;;0;;2;;"A pesar del #calor que bien sienta un buen #puchero ! Muy rico carniceriapacomelero… https://www.instagram.com/p/BYy2XFnAIh4/";;;;;;#calor #puchero;;"906262587909820417";;https://twitter.com/pilarcocinando/status/906262587909820417
fcojosemoya;;2017-09-07 22:19;;0;;0;;"Con el miedo me hago un bocadillo bien rico, el cuál me comeré. Cero miedo, mucha energía y… https://www.instagram.com/p/BYwZ5n0g1wF/";;;;;;;;"905918515059847168";;https://twitter.com/fcojosemoya/status/905918515059847168
pilarcocinando;;2017-09-07 16:51;;1;;1;;"Sabemos que todavía hace bastante #calor pero no nos resistimos a disfrutar de este rico #Guiso… https://www.instagram.com/p/BYv0XsvAvf-/";;;;;;#calor #Guiso;;"905836002115248128";;https://twitter.com/pilarcocinando/status/905836002115248128
conjuanranas;;2017-09-07 16:03;;0;;0;;"Gelatina de té verde #juanranas ! Es una idea de caarmenjmnz Un rico y saludable postre. Muchas… https://www.instagram.com/p/BYvuzylHaEs/";;;;;;#juanranas;;"905823796505882625";;https://twitter.com/conjuanranas/status/905823796505882625
RafaelVivillo;;2017-09-06 21:49;;0;;0;;"Fuerza a toda la gente de Puerto Rico, República Dominicana...estáis en mis oraciones… https://www.instagram.com/p/BYtxs5RluZf/";;;;;;;;"905548642077077505";;https://twitter.com/RafaelVivillo/status/905548642077077505
manuelhighpro;;2017-09-06 20:37;;0;;0;;"Uh! Rico el Riberita este con uva tinta del País, se dice que una… https://www.instagram.com/p/BYtpYUwD0A2e-aYOPS7tju_zuQ2yXtfVnqBApI0/ …";;;;;;;;"905530347164639232";;https://twitter.com/manuelhighpro/status/905530347164639232
