username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
ajvlm;;2014-08-22 23:59;;4;;14;;"Bitches better come to first dance cause everything look hella nice";;;;;;;;"502968357981655040";;https://twitter.com/ajvlm/status/502968357981655040
alexholmesss;;2014-08-22 23:58;;0;;20;;"So pumped to rape some freshman tonight";;;;;;;;"502967991269486593";;https://twitter.com/alexholmesss/status/502967991269486593
kaplanoah;;2014-08-22 23:56;;5;;3;;"@tom_peters @HCMarino related: ask for forgiveness not permission, actions over words, embrace not being smartest in room.";;;;@tom_peters @HCMarino;;;;"502967543888232449";;https://twitter.com/kaplanoah/status/502967543888232449
LilKim_Main;;2014-08-22 23:56;;6;;17;;"One week till Corvallis time and the game #GoBeavs";;;;;;#GoBeavs;;"502967471943712768";;https://twitter.com/LilKim_Main/status/502967471943712768
chadmedd;;2014-08-22 23:55;;0;;14;;"Actually not knowing who was going to win the rally made it so much more exciting";;;;;;;;"502967400023609344";;https://twitter.com/chadmedd/status/502967400023609344
dkimle;;2014-08-22 23:55;;1;;5;;"its funny how people make hate pages when they can just say it to their faces";;;;;;;;"502967345027887104";;https://twitter.com/dkimle/status/502967345027887104
HorneLynn;;2014-08-22 23:54;;2;;6;;"@D_LadyFaithful @Supraez @LARRYTURNER9 @49erlance @EyeFlutterby @LLuscious143 @49erswaggg @LarrySwentzel @sweetscienceko Aw thanks so much";;;;@D_LadyFaithful @Supraez @LARRYTURNER9 @49erlance @EyeFlutterby @LLuscious143 @49erswaggg @LarrySwentzel @sweetscienceko;;;;"502967075753586689";;https://twitter.com/HorneLynn/status/502967075753586689
Scobleizer;;2014-08-22 23:54;;11;;23;;"I dropped by TWiT and no one is here so I took over Leo's empire! (at @twit in Petaluma, CA) https://www.swarmapp.com/scobleizer/checkin/53f7d81d498e65be1eef1e18?s=YN0iZ-z9qm7MVPDyWOavqwNziqk&ref=tw …";;;;@twit;;;;"502966981667356672";;https://twitter.com/Scobleizer/status/502966981667356672
faabbs_;;2014-08-22 23:52;;0;;15;;"little munchkin pic.twitter.com/9wTP3kgEub";;;;;;;;"502966627625750529";;https://twitter.com/faabbs_/status/502966627625750529
chimmyken;;2014-08-22 23:52;;1;;5;;"Main reason why I love @cristelaroo: she ran to Wiz Khalifa's dog first before Wiz Khalifa.";;;;@cristelaroo;;;;"502966561993269248";;https://twitter.com/chimmyken/status/502966561993269248
adimagerie;;2014-08-22 23:49;;1;;6;;"So go ahead and keep doing the ice bucket challenges, just don't forget what it's truly for and tell your friends about it too";;;;;;;;"502965876220370944";;https://twitter.com/adimagerie/status/502965876220370944
rrfarrokhi;;2014-08-22 23:48;;1;;4;;"*pregnant teenager walks in to get her nails done* Makenna: *whispers* "shouldn't she be saving for the baby?"";;;;;;;;"502965667490828288";;https://twitter.com/rrfarrokhi/status/502965667490828288
a_kaaay;;2014-08-22 23:48;;3;;20;;"Till I die #soapic.twitter.com/FRyqayzg8T";;;;;;#soapic;;"502965443884089344";;https://twitter.com/a_kaaay/status/502965443884089344
