username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
GirlinOahu;;2011-11-19 23:53;;1;;0;;"@CarlDaikeler Happy Birthday!! In honor of your bday from here on out--I will give 10% of my weekly BB income 2 RainCatcher.org #GiveFreely";;;;@CarlDaikeler;;#GiveFreely;;"138042321114628096";;https://twitter.com/GirlinOahu/status/138042321114628096
pinson12_2010;;2011-11-19 23:53;;0;;1;;"Arkansas has now outscored its last 3 opponents by a score of 137-52...#WPS#";;;;;;#WPS #;;"138042151727665152";;https://twitter.com/pinson12_2010/status/138042151727665152
db4gsus;;2011-11-19 23:37;;0;;1;;"Worship practice! (@calvary chapel of garland) http://4sq.com/v3swFE";;;;@calvary;;;;"138038133123059712";;https://twitter.com/db4gsus/status/138038133123059712
Shelby_LeighG;;2011-11-19 23:35;;0;;1;;""I love it when guys noticeably check me out." Get over yourself really.";;;;;;;;"138037770022170624";;https://twitter.com/Shelby_LeighG/status/138037770022170624
theycallmeShua;;2011-11-19 23:31;;1;;0;;"Great seats. Free sunglasses , free shirt, great @totescoolbro . #lifeisgreat #meangreenswag cc @untactivities http://twitpic.com/7gjrll";;;;@totescoolbro @untactivities;;#lifeisgreat #meangreenswag;;"138036702424997888";;https://twitter.com/theycallmeShua/status/138036702424997888
SydneyyRobin;;2011-11-19 23:27;;1;;0;;""Trying to forget someone you love is like trying to remember someone you never met.""";;;;;;;;"138035602045153280";;https://twitter.com/SydneyyRobin/status/138035602045153280
LoveeeNisaaa;;2011-11-19 23:23;;2;;0;;"I am so blessed for the parents i have cause i am real life spoiled , but i also work hard for what i earn ..";;;;;;;;"138034719819444224";;https://twitter.com/LoveeeNisaaa/status/138034719819444224
Sw33t_Kisses_;;2011-11-19 23:01;;0;;1;;"Man blue hill ave js cumn on man I been waitin on dis fukkn movie... #yesssss";;;;;;#yesssss;;"138029280503402496";;https://twitter.com/Sw33t_Kisses_/status/138029280503402496
krystinpalma;;2011-11-19 23:00;;1;;0;;"“Number of people that find me attractive: 0 Number of people that find my bestfriend attractive: 44725482724902384390253747” #storyofmylife";;;;;;#storyofmylife;;"138028785692983296";;https://twitter.com/krystinpalma/status/138028785692983296
1pump2pump;;2011-11-19 22:54;;2;;0;;"real recognize real";;;;;;;;"138027309646102528";;https://twitter.com/1pump2pump/status/138027309646102528
