username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
LocusChat;;2018-11-21 23:56;;2;;3;;"Last note before I start my weekend - the (Gail Carriger) @gailcarriger class is coming up! Get your spot… https://www.instagram.com/p/BqdisYVFTE6/?utm_source=ig_twitter_share&igshid=1s2ar2uardqfg …";;;;@gailcarriger;;;;"1065393644667056129";;https://twitter.com/LocusChat/status/1065393644667056129
FolsomLibrary;;2018-11-21 23:37;;2;;3;;"For those who are interested in VR and AR development, the library is partnering with Folsom VR_AR Meetup to offer an informal learning community for all things VR. Inaugural meet and greet will be Tuesday, 11/27, 6:15-8 p.m. register at http://Meetup.com .pic.twitter.com/EXr1DvaIlW";;;;;;;;"1065388798178136064";;https://twitter.com/FolsomLibrary/status/1065388798178136064
dantemarsh;;2018-11-21 23:27;;0;;5;;"HOW CAN THEY BEAT YOU IF THEY CAN’T OUTWORK YOU? One Stop Shop.Speed, Power, Strength Sports Specific WideoutCity x DBCity @lgwideoutcity @Edison High https://www.instagram.com/p/BqdUMnkF_r3/?utm_source=ig_twitter_share&igshid=14y558wxzvi8r …";;;;@lgwideoutcity @Edison;;;;"1065386279922221057";;https://twitter.com/dantemarsh/status/1065386279922221057
FolsomLibrary;;2018-11-21 22:45;;2;;3;;"Reminder about our holiday hours: We are closing Wednesday at 5 p.m. and will reopen Saturday at 10 a.m. Have a wonderful Thanksgiving!pic.twitter.com/1GV5NplYuO";;;;;;;;"1065375600918044673";;https://twitter.com/FolsomLibrary/status/1065375600918044673
shawncalhoun;;2018-11-21 22:33;;1;;7;;"The good news? I made pickles. The bad news? None. I made freakin’ pickles!!!! @San Francisco, California https://www.instagram.com/p/BqdZMkAnO24/?utm_source=ig_twitter_share&igshid=13uxn4ks3220r …";;;;@San;;;;"1065372548165263360";;https://twitter.com/shawncalhoun/status/1065372548165263360
britpopfury;;2018-11-21 22:30;;0;;7;;"LA here I come! Can't wait to watch @ieuanofficial perform tonight! We'll be at the Whiskey A Go Go, if you're in town. On at 10pm x @San Francisco… https://www.instagram.com/p/BqdY6UnnpcKdvfqE2fh-z0VzIUNKh7Mrbb1uUg0/?utm_source=ig_twitter_share&igshid=rtekyw397ja …";;;;@ieuanofficial @San;;;;"1065371926737158145";;https://twitter.com/britpopfury/status/1065371926737158145
SFBGS;;2018-11-21 21:41;;3;;4;;"So thankful for this rain! And for you all and and everyone that makes the Garden such a special place—the volunteers, members, visitors, donors, and staff! Thank you! The Garden is free… https://www.instagram.com/p/BqdTQezljZ4/?utm_source=ig_twitter_share&igshid=p0airf8su0v1 …";;;;;;;;"1065359485034737664";;https://twitter.com/SFBGS/status/1065359485034737664
FiatSlug1;;2018-11-21 21:33;;2;;3;;"Rain. Beautiful rain. Air quality is the best it has been in weeks, maybe months. @Berkeley, California https://www.instagram.com/p/BqdSN7ogRqz/?utm_source=ig_twitter_share&igshid=168tpe7pzhq1q …";;;;@Berkeley;;;;"1065357488369950720";;https://twitter.com/FiatSlug1/status/1065357488369950720
TheBayAreaLife;;2018-11-21 21:30;;3;;2;;"Rain #bayarea #eastbay #film #california #movies #disney #flower #love #fun #art #technology #restaurant #sanfrancisco #travel #shopping #women #happy #beauty #rain #movie #citylife… https://www.instagram.com/p/BqdSBIEhTpG/?utm_source=ig_twitter_share&igshid=1646ctr4ldtn2 …";;;;;;#bayarea #eastbay #film #california #movies #disney #flower #love #fun #art #technology #restaurant #sanfrancisco #travel #shopping #women #happy #beauty #rain #movie #citylife;;"1065356762319151104";;https://twitter.com/TheBayAreaLife/status/1065356762319151104
JPDinnell;;2018-11-21 21:13;;2;;41;;"I didn’t choose the #MiniVanLife the #MiniVanLife chose me thanks to the #ExecutiveEliteIsle at #NationalRentalCar @Sacramento International Airport https://www.instagram.com/p/BqdQD2sn-B_/?utm_source=ig_twitter_share&igshid=13v4z557qoc4v …";;;;@Sacramento;;#MiniVanLife #MiniVanLife #ExecutiveEliteIsle #NationalRentalCar;;"1065352453531594752";;https://twitter.com/JPDinnell/status/1065352453531594752
