username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
AngryBlackLady;;2018-11-06 23:50;;6;;163;;"I took a stress nap. I was asleep and fully cognizant of the fact that I’m stressed tf out.";;;;;;;;"1059956227814420482";;https://twitter.com/AngryBlackLady/status/1059956227814420482
AngryBlackLady;;2018-11-06 23:46;;1;;54;;"Hahaha. But also https://twitter.com/Maefrombackeast/status/1059954677205426176 …";;;;;;;;"1059955322981277697";;https://twitter.com/AngryBlackLady/status/1059955322981277697
sscottpga;;2018-11-06 23:42;;1;;14;;"Monterey Peninsula CC is simply breathtaking today @Monterey Peninsula Country Club https://www.instagram.com/p/Bp25Ngalt71/?utm_source=ig_twitter_share&igshid=c3l7o40ulv63 …";;;;@Monterey;;;;"1059954182202056704";;https://twitter.com/sscottpga/status/1059954182202056704
PancheriHoracio;;2018-11-06 23:33;;9;;80;;"Enjoy the life... en Quintessa https://www.instagram.com/p/Bp24JGMlaVx/?utm_source=ig_twitter_share&igshid=1525scdfm318t …";;;;;;;;"1059951838559158272";;https://twitter.com/PancheriHoracio/status/1059951838559158272
waywardandwine;;2018-11-06 22:45;;4;;10;;"please, PLEASE, please, #votethemout. Stand with minorities, stand with women, stand with trans people and disabled people and sick people. Show the administration that you condemn hate… https://www.instagram.com/p/Bp2yukDHBIA/?utm_source=ig_twitter_share&igshid=1dnz1k1crj58w …";;;;;;#votethemout;;"1059939925196505089";;https://twitter.com/waywardandwine/status/1059939925196505089
AaronAxelsen;;2018-11-06 22:04;;0;;37;;"Root for democracy! #VoteBlueToSaveAmericapic.twitter.com/7666sUq2L7 – at Oakland Hills";;;;;;#VoteBlueToSaveAmericapic;;"1059929444226396161";;https://twitter.com/AaronAxelsen/status/1059929444226396161
EastBayPioneers;;2018-11-06 21:53;;3;;11;;"Come support eastbayvolleyball as they take on Cal State San Marcos in the CCAA Quarterfinals! Be there - UU 1002 on Thursday at 2:30 pm. Don’t miss out on the FREE FOOD and FUN @… https://www.instagram.com/p/Bp2swZinrF8/?utm_source=ig_twitter_share&igshid=1lpw08bgi2y4w …";;;;@;;;;"1059926792402845696";;https://twitter.com/EastBayPioneers/status/1059926792402845696
deejay_amp;;2018-11-06 21:41;;2;;10;;""If you can dream it, you can do it." -- Walt Disney . . . . #businessowner #luxury #fitness #work #motivated #dreambig #quote #follow #entrepreneurlifestyle #nevergiveup #quoteoftheday… https://www.instagram.com/p/Bp2rYG9nRLS/?utm_source=ig_twitter_share&igshid=2g16azvgew9v …";;;;;;#businessowner #luxury #fitness #work #motivated #dreambig #quote #follow #entrepreneurlifestyle #nevergiveup #quoteoftheday;;"1059923768355799041";;https://twitter.com/deejay_amp/status/1059923768355799041
alinab_fashion;;2018-11-06 21:21;;3;;5;;"Hi Friends! Alina B. is excited to announce that we will be hosting an event for a local charity, For The Love Of Cups! Alina B. will be donating 15% of proceeds made from 1pm -8pm on… https://www.instagram.com/p/Bp2nObShi5m/?utm_source=ig_twitter_share&igshid=160j6msm86o3b …";;;;;;;;"1059918615875596288";;https://twitter.com/alinab_fashion/status/1059918615875596288
OldTownPizza;;2018-11-06 20:50;;1;;4;;"New moksabrewing and revisionbrewing cans are in today — celebrate you voting! #########################ivoted #craftbeer #craftcans #moksabrewing #revisionbrewing @Old Town Pizza Roseville https://www.instagram.com/p/Bp2ljWqH_pj/?utm_source=ig_twitter_share&igshid=a7z8f145vbnv …";;;;@Old;;# # # # # # # # # # # # # # # # # # # # # # # # #ivoted #craftbeer #craftcans #moksabrewing #revisionbrewing;;"1059910965473566722";;https://twitter.com/OldTownPizza/status/1059910965473566722
gedankenstuecke;;2018-11-06 20:46;;11;;36;;"Recently I was at an event where neuroscientists were jealous of #bioinformatics for having clean file formats such as FASTA. My first reaction was a mixture of laughter and crying. Here’s a good summary why:https://twitter.com/kbradnam/status/1059698181351620608 …";;;;;;#bioinformatics;;"1059909835364302848";;https://twitter.com/gedankenstuecke/status/1059909835364302848
RueMapp;;2018-11-06 20:33;;1;;8;;"No excuses! “I am the dream and the hope of the slave” - Maya Angelou #Vote @California's 13th Congressional District https://www.instagram.com/p/Bp2jm5rFQgk/?utm_source=ig_twitter_share&igshid=wxxauvjcscu1 …";;;;@California;;#Vote;;"1059906675124125702";;https://twitter.com/RueMapp/status/1059906675124125702
ItalyinSanFran;;2018-11-06 20:27;;2;;4;;"Get ready to taste special Italian menus next week! Visit this link https://weekofitaliancuisineinsf.org/index.php/participating-restaurants/ … and explore all the menus of the 22… https://www.instagram.com/p/Bp2hKh4hCoN/?utm_source=ig_twitter_share&igshid=qzdyd03iypof …";;;;;;;;"1059905156450529282";;https://twitter.com/ItalyinSanFran/status/1059905156450529282
