username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
RyanSilver1;;2018-08-05 23:53;;1;;19;;"NBA World Champion Steph Curry working with 2019 pg Nico Mannion Pinnacle at Steph Curry Select Camp. #westcoastelite #wceua #scselect @Ultimate Fieldhouse https://www.instagram.com/p/BmHcmgfhZe7/?utm_source=ig_twitter_share&igshid=1olu4ajp57tic …";;;;@Ultimate;;#westcoastelite #wceua #scselect;;"1026255023754358784";;https://twitter.com/RyanSilver1/status/1026255023754358784
AaronComfortDog;;2018-08-05 23:36;;0;;12;;"Those Dalmatian’s sure must be good good climbers to get into this engine. I love firefighters! #shastastrong #calfire #CarrFire #community #redding #makingprogress #dalmatian @Shasta… https://www.instagram.com/p/BmHapBXhlsk/?utm_source=ig_twitter_share&igshid=1hqp6xpnn19ut …";;;;@Shasta;;#shastastrong #calfire #CarrFire #community #redding #makingprogress #dalmatian;;"1026250701742239745";;https://twitter.com/AaronComfortDog/status/1026250701742239745
dominicanlax;;2018-08-05 22:39;;0;;6;;"Beautiful day for a great Prospect Camp at Dominican. Some very talented future Penguins in this group! Lots of good things coming in 2018-2019! Go Penguins! @Penguin Field https://www.instagram.com/p/BmHUDYGlcbD/?utm_source=ig_twitter_share&igshid=6dd8igm02wsq …";;;;@Penguin;;;;"1026236207456382976";;https://twitter.com/dominicanlax/status/1026236207456382976
RameyWineCellar;;2018-08-05 22:37;;2;;4;;"On Friday, the Ramey family and team hosted @chamberswines their annual tasting and lunch bye Chef pssmitty. . #greatpartnership #winetasting #wineandfood @Ramey Wine Cellars https://www.instagram.com/p/BmHT3izB-TG/?utm_source=ig_twitter_share&igshid=1fuwyhbgurlaa …";;;;@chamberswines @Ramey;;#greatpartnership #winetasting #wineandfood;;"1026235803813470211";;https://twitter.com/RameyWineCellar/status/1026235803813470211
NicksFuneral;;2018-08-05 22:16;;1;;9;;"The double thin patty burger is so vastly superior to the meatloaf brick some places call a burger.";;;;;;;;"1026230475382087680";;https://twitter.com/NicksFuneral/status/1026230475382087680
TheMirnavator;;2018-08-05 20:19;;1;;6;;"I’m gonna need one of these yakimaracks top tent things! Definitely sturdy....and I’m also gonna need a @subaru_usa too... #camping #optoutside #rackoutessa rei outessa @Squaw Valley,… https://www.instagram.com/p/BmHEHKNBT14/?utm_source=ig_twitter_share&igshid=1qg0alqcn7of9 …";;;;@subaru_usa @Squaw;;#camping #optoutside #rackoutessa;;"1026201161827844096";;https://twitter.com/TheMirnavator/status/1026201161827844096
lesliegstanton;;2018-08-05 19:25;;3;;3;;"#maroon5 #adamlevine #redpillbluestour My photo & edit from Sacramento @Golden 1 Center https://www.instagram.com/p/BmG91lYlQv0/?utm_source=ig_twitter_share&igshid=1ku0oo303ndxl …";;;;@Golden;;#maroon5 #adamlevine #redpillbluestour;;"1026187360671809536";;https://twitter.com/lesliegstanton/status/1026187360671809536
RyanSilver1;;2018-08-05 18:36;;0;;8;;"Happy Birthday to young Aidan Mahaney. Wonderful young man and basketball player with an extremely bright future. Epitomizes Harvard/Stanford/Duke West Coast Elite Culture. #aidan… https://www.instagram.com/p/BmG4PjPhkyh/?utm_source=ig_twitter_share&igshid=1om2p6ff1uz3o …";;;;;;#aidan;;"1026175058354622464";;https://twitter.com/RyanSilver1/status/1026175058354622464
RyanSilver1;;2018-08-05 18:24;;2;;6;;"OPPORTUNITY 1000 camps 2018-2019 with my man Dinos Trigonis. Lets goooooooooooo... Its All About Giving ALL kids opportunity. #westcoastelite #wce opportunity 1000 #wceua #excellence @… https://www.instagram.com/p/BmG23EjBi9p/?utm_source=ig_twitter_share&igshid=1mz2lzb3y50ks …";;;;@;;#westcoastelite #wce #wceua #excellence;;"1026172151353798657";;https://twitter.com/RyanSilver1/status/1026172151353798657
FederalistAlley;;2018-08-05 17:31;;1;;4;;"Sunday brunch begins at 1130am. Bottomless bellinis, sangria, amazing wood fired pizza, ice cold craft beer& the best vegan options in Sactown! . . . #federalist #visitsacramento… https://www.instagram.com/p/BmGw02Lg7hU/?utm_source=ig_twitter_share&igshid=zlph1zvdkzv5 …";;;;;;#federalist #visitsacramento;;"1026158749390712835";;https://twitter.com/FederalistAlley/status/1026158749390712835
