username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
CherylHines;;2018-07-21 23:48;;1;;30;;"Just shootin’ the breeze in San Fran. @Haight Ashbury - hippy hill at golden gate park https://www.instagram.com/p/Blg0FsNgQa8/?utm_source=ig_twitter_share&igshid=1pici9o760mx …";;;;@Haight;;;;"1020817937312014336";;https://twitter.com/CherylHines/status/1020817937312014336
dymmel;;2018-07-21 23:19;;1;;9;;"It’s a home game for Fiji here. #greatfans #fijirugby7s #7srugbyworldcup @AT&T Park https://www.instagram.com/p/Blgwh7mDW2_/?utm_source=ig_twitter_share&igshid=1wxvq2ti19htu …";;;;@AT;;#greatfans #fijirugby7s #7srugbyworldcup;;"1020810592213438465";;https://twitter.com/dymmel/status/1020810592213438465
TylerD1amond;;2018-07-21 23:09;;1;;17;;"Yesterday concluded the last day of a very successful 4th annual ‘Tyler Diamond Technique Wrestling Camp’. Every year the camp has gotten bigger & bigger with many kids returning every… https://www.instagram.com/p/BlgvpVTgdbb/?utm_source=ig_twitter_share&igshid=vo6prhflvxi8 …";;;;;;;;"1020808122615681024";;https://twitter.com/TylerD1amond/status/1020808122615681024
JadenGeller;;2018-07-21 22:54;;0;;5;;"I’m not not considering buying an iPad. (at @Apple Palo Alto in Palo Alto, CA)https://www.swarmapp.com/c/5rASXv0rnUs";;;;@Apple;;;;"1020804352141942784";;https://twitter.com/JadenGeller/status/1020804352141942784
Sgoss10;;2018-07-21 22:43;;5;;59;;"The final ride with my sisters #lessssgo Vs France 2:47pm (NZT) @San Francisco, California https://www.instagram.com/p/BlgspYih9b8/?utm_source=ig_twitter_share&igshid=3od73r57ijw7 …";;;;@San;;#lessssgo;;"1020801528750395392";;https://twitter.com/Sgoss10/status/1020801528750395392
tonysphere;;2018-07-21 22:40;;0;;5;;"Artichokes. @Point Reyes Station, California https://www.instagram.com/p/BlgsOucFeQSrlYXV6zKd1x7jrrFHzIJ1ykdfeE0/?utm_source=ig_twitter_share&igshid=1k71gl1rb1av3 …";;;;@Point;;;;"1020800659786956800";;https://twitter.com/tonysphere/status/1020800659786956800
j00zt1n;;2018-07-21 22:10;;1;;32;;"Happy weekend pic.twitter.com/r0exHyW3k2";;;;;;;;"1020793215891353600";;https://twitter.com/j00zt1n/status/1020793215891353600
mgdtx;;2018-07-21 22:03;;0;;4;;"Bone dry and delicious. What a treat! - Drinking a Beatification by Russian River Brewing Company @Russian River Brewing Company —http://untp.beer/s/c628119667";;;;@Russian;;;;"1020791371651854337";;https://twitter.com/mgdtx/status/1020791371651854337
Gabrus;;2018-07-21 21:33;;1;;14;;"Saturday is a rugby day ‘Training’ with @paullyoung @AT&T Park https://www.instagram.com/p/BlgknLkHnyp/?utm_source=ig_twitter_share&igshid=2r56tehh35j …";;;;@paullyoung @AT;;;;"1020783856461393920";;https://twitter.com/Gabrus/status/1020783856461393920
MLNow;;2018-07-21 20:33;;2;;10;;"Video: http://ow.ly/M1Xf30l3C4y Mayor Breed, who keeps our streets clean? @sfpublicworks, @sf311Reportspic.twitter.com/4nbKojkUXA";;;;@sfpublicworks @sf311Reportspic;;;;"1020768817721561088";;https://twitter.com/MLNow/status/1020768817721561088
itslexijune;;2018-07-21 20:28;;1;;8;;"Spending all Saturday chilling and smoking weed..... Wbu? @Walnut Creek, California https://www.instagram.com/p/BlgdJNznq40/?utm_source=ig_twitter_share&igshid=10t5fvwqikq8y …";;;;@Walnut;;;;"1020767448654598145";;https://twitter.com/itslexijune/status/1020767448654598145
singer_shaan;;2018-07-21 20:24;;8;;129;;"I can see the venue from my room .. SanJose Center for Performing Arts... looking forward to another SuperFun Evening of Music, Dance, Love and Happiness #SanJose who’s Coming?!?… https://www.instagram.com/p/BlgcZ_TBVwn/?utm_source=ig_twitter_share&igshid=r4lh6dlikylw …";;;;;;#SanJose;;"1020766553694982149";;https://twitter.com/singer_shaan/status/1020766553694982149
ctp;;2018-07-21 20:11;;0;;9;;"Current status. @Mountain View, California https://www.instagram.com/p/BlgbPMCl-G6/?utm_source=ig_twitter_share&igshid=1umrgf5s1d38x …";;;;@Mountain;;;;"1020763252957986816";;https://twitter.com/ctp/status/1020763252957986816
SawyerSommelier;;2018-07-21 18:45;;7;;29;;"Celebrating 135 years of history at #wentevineyards by tasting fab #wines from the past 30 years w/winemaker @KarlWente, somm #JorgeTinoco & a fab cast of #wine pros at #WenteRestaurant & #WenteWinery in #LivermoreValley! #SommJournal #TastingPanel #MyWineSociety #AllTheSwirlpic.twitter.com/3aXNw4cEYO";;;;@KarlWente;;#wentevineyards #wines #JorgeTinoco #wine #WenteRestaurant #WenteWinery #LivermoreValley #SommJournal #TastingPanel #MyWineSociety #AllTheSwirlpic;;"1020741641441693696";;https://twitter.com/SawyerSommelier/status/1020741641441693696
magicgiant;;2018-07-21 18:27;;3;;10;;"CAMP MISFITS UPDATES! 1. Announcing.....Guest "Counselors"!! 2. Prices are rising one week from today (space is running out)! 3. We're extending the monthly Payment Plans until Aug… https://www.instagram.com/p/BlgLT4kD8RJ/?utm_source=ig_twitter_share&igshid=1vruc0vg4sjps …";;;;;;;;"1020736933620744193";;https://twitter.com/magicgiant/status/1020736933620744193
ArthurMurrayUSA;;2018-07-21 18:17;;2;;8;;"Solo episode - the audio is a little less than perfect but the story is worth it. . . . . #podcastlaunch #podcaster #podcastlife #podcastshow #podcastaddict #podcast #podcasters @… https://www.instagram.com/p/BlgOIA5Au6e/?utm_source=ig_twitter_share&igshid=gp5oh069mdf0 …";;;;@;;#podcastlaunch #podcaster #podcastlife #podcastshow #podcastaddict #podcast #podcasters;;"1020734410755387392";;https://twitter.com/ArthurMurrayUSA/status/1020734410755387392
