username;;date;;retweets;;favorites;;text;;geo;;mentions;;hashtags;;id;;permalink
NickKremenek;;2018-11-06 23:57;;0;;4;;"Gone and done my civic duty. Don’t forget to vote!! #vote #vote2018 #election #electionday #makeyourvoiceheard @Thousand Oaks, California https://www.instagram.com/p/Bp26_E2g4Gr/?utm_source=ig_twitter_share&igshid=cwknr5dktk7e …";;;;@Thousand;;#vote #vote2018 #election #electionday #makeyourvoiceheard;;"1059958084762767362";;https://twitter.com/NickKremenek/status/1059958084762767362
HomesKrystals;;2018-11-06 23:55;;0;;0;;"Beautiful and informative day caravanning with these lovelies today. This gentleman is the agent for my open house of thw week. Posting ona few hours. @Sherman Oaks, California https://www.instagram.com/p/Bp26r8KgAC1/?utm_source=ig_twitter_share&igshid=1e69sothhzh1r …";;;;@Sherman;;;;"1059957428257677312";;https://twitter.com/HomesKrystals/status/1059957428257677312
brigida_sarah;;2018-11-06 23:50;;0;;0;;"New glasses, I can see @Thousand Oaks, California https://www.instagram.com/p/Bp26KzUBrDW/?utm_source=ig_twitter_share&igshid=1gyqe93fqq1eg …";;;;@Thousand;;;;"1059956299100614656";;https://twitter.com/brigida_sarah/status/1059956299100614656
LynnDevereux;;2018-11-06 23:34;;0;;1;;"Go vote! #midterms2018 @Sherman Oaks, California https://www.instagram.com/turtlekitten/p/Bp24Q_6guBc/?utm_source=ig_twitter_share&igshid=qvqqobmrbfdo …";;;;@Sherman;;#midterms2018;;"1059952101055516675";;https://twitter.com/LynnDevereux/status/1059952101055516675
TowersMetalwork;;2018-11-06 23:10;;0;;0;;"Welding up the corners on the stainless drip trays #custom #welding #fabrication #towersmetalworks @Thousand Oaks, California https://www.instagram.com/p/Bp21ibvDIC1/?utm_source=ig_twitter_share&igshid=pwbqw5e70pw9 …";;;;@Thousand;;#custom #welding #fabrication #towersmetalworks;;"1059946107550212096";;https://twitter.com/TowersMetalwork/status/1059946107550212096
Batventador;;2018-11-06 23:02;;0;;0;;"Sexy and sounds so awesome on corsarally Las Vegas Poker Run someone won $4500 at the end. #corsagamblerrally #batventador #huracan #lamborghini #pooping @Thousand Oaks, California https://www.instagram.com/p/Bp2zuZxhVz4/?utm_source=ig_twitter_share&igshid=1kas6lnsaoyv4 …";;;;@Thousand;;#corsagamblerrally #batventador #huracan #lamborghini #pooping;;"1059944051175239686";;https://twitter.com/Batventador/status/1059944051175239686
ThePeaceFund;;2018-11-06 22:59;;5;;15;;"Please consider Amazon Smiles when making those online holiday purchases! The Peace Fund is in Sherman Oaks, California! https://www.facebook.com/thepeacefund/posts/2042517392471251 …";;;;;;;;"1059943319499890688";;https://twitter.com/ThePeaceFund/status/1059943319499890688
IAmTwinkieByrd;;2018-11-06 22:43;;1;;4;;"I VOTED!! #vote My Voice matters @Sherman Oaks, California https://www.instagram.com/p/Bp2yOTwgCvN/?utm_source=ig_twitter_share&igshid=1gyfneydghani …";;;;@Sherman;;#vote;;"1059939310366007301";;https://twitter.com/IAmTwinkieByrd/status/1059939310366007301
yourehilarious;;2018-11-06 22:24;;0;;0;;"No excuses! #Vote @Sherman Oaks, California https://www.instagram.com/p/Bp2wU4vgwkp/?utm_source=ig_twitter_share&igshid=17aeu69nrch97 …";;;;@Sherman;;#Vote;;"1059934648292335617";;https://twitter.com/yourehilarious/status/1059934648292335617
philasifer;;2018-11-06 22:15;;0;;0;;"No way around it. Go vote. Send your own message. If you don’t, you are accepting the messaging of others. @Sherman Oaks, California https://www.instagram.com/p/Bp2vK37nly5/?utm_source=ig_twitter_share&igshid=1igck6ctnrb31 …";;;;@Sherman;;;;"1059932390443941888";;https://twitter.com/philasifer/status/1059932390443941888
